"gene","ensg","cohen","pvalue","fold_change","ma","sa","mb","sb"
"AC097480.1","ENSG00000250064","0.32","0.7757227126189745","1.027777777777778","0.11","0.1","0.08","0.16"
"AC100827.3","ENSG00000260534","0.32","0.7972855892353323","1.0442477876106198","1.36","0.33","1.26","0.2"
"AC108134.1","ENSG00000205890","0.32","0.7972855892353323","1.01","0.01","0.02","0","0.01"
"AC110995.1","ENSG00000236120","0.32","0.7911129001256745","1.00990099009901","0.02","0.03","0.01","0.02"
"AC114495.2","ENSG00000229447","0.32","0.777225813101237","1.026315789473684","0.17","0.1","0.14","0.09"
"AC124017.1","ENSG00000249341","0.32","0.7972855892353323","1.00990099009901","0.02","0.02","0.01","0.02"
"ADA","ENSG00000196839","0.32","0.7861628219568974","1.0942465753424657","18.97","6.1","17.25","5.91"
"ADAMTS19","ENSG00000145808","0.32","0.7961624489795918","1.01","0.01","0.01","0","0.01"
"AKAP9","ENSG00000127914","0.32","0.7718632753959057","1.0410607356715142","47.68","6.04","45.76","9.28"
"AL008627.1","ENSG00000229700","0.32","0.7966007547169811","1.01","0.01","0.02","0","0.01"
"AL024497.2","ENSG00000234567","0.32","0.7910835120940898","1","0.01","0.02","0.01","0.02"
"AL096701.1","ENSG00000214093","0.32","0.7971070771459616","1.01","0.01","0.02","0","0.01"
"AL109615.1","ENSG00000183239","0.32","0.7972604053564966","1.01","0.01","0.01","0","0.01"
"AL117339.3","ENSG00000272983","0.32","0.7965881059834038","1.0642857142857143","0.49","0.32","0.4","0.24"
"AL121820.1","ENSG00000258623","0.32","0.7918140822200901","1.0098039215686274","0.03","0.03","0.02","0.02"
"AL139241.1","ENSG00000230928","0.32","0.7972855892353323","1.00990099009901","0.02","0.03","0.01","0.02"
"AL158071.3","ENSG00000230537","0.32","0.7847233333333333","1.0098039215686274","0.03","0.03","0.02","0.03"
"AL160408.3","ENSG00000230628","0.32","0.7961624489795918","1.01","0.01","0.01","0","0.01"
"AL355076.3","ENSG00000258878","0.32","0.7972855892353323","1","0","0.01","0","0"
"AL590682.1","ENSG00000238085","0.32","0.7905990140114167","1","0.01","0.02","0.01","0.01"
"AL669970.1","ENSG00000223795","0.32","0.7905990140114167","1.01","0.01","0.01","0","0.01"
"AMHR2","ENSG00000135409","0.32","0.7972855892353323","1","0","0.01","0","0.01"
"ANKRD12","ENSG00000101745","0.32","0.7569316991643453","1.0405576679340935","40.05","4.65","38.45","7.15"
"AP001476.2","ENSG00000226115","0.32","0.787403462489695","1.00990099009901","0.02","0.02","0.01","0.02"
"AP005121.2","ENSG00000263821","0.32","0.7972855892353323","1.01","0.01","0.01","0","0.01"
"APC","ENSG00000134982","0.32","0.7933074150209235","1.1299757701626862","64.29","21.81","56.78","14.3"
"APCDD1L-DT","ENSG00000231290","0.32","0.7899647662231473","1.2626050420168067","5.01","3.43","3.76","2.57"
"ARMC3","ENSG00000165309","0.32","0.7972855892353323","1","0.01","0.02","0.01","0.02"
"ASTL","ENSG00000188886","0.32","0.7879004187542062","1.0384615384615385","0.08","0.12","0.04","0.09"
"AZI2","ENSG00000163512","0.32","0.7970366685987538","1.0881173052981048","77.66","18.71","71.29","13.88"
"BCL11A","ENSG00000119866","0.32","0.7812595376595904","1.1171548117154813","1.67","1.21","1.39","1.22"
"C5orf34-AS1","ENSG00000248554","0.32","0.7879004187542062","1.0188679245283019","0.08","0.05","0.06","0.05"
"CALHM5","ENSG00000178033","0.32","0.7487213369070825","1.0445884146341464","26.41","4.04","25.24","8.4"
"CARNS1","ENSG00000172508","0.32","0.7852461561606741","1.040983606557377","0.27","0.18","0.22","0.15"
"CCSAP","ENSG00000154429","0.32","0.7781491089108912","1.050251256281407","11.54","1.87","10.94","2.22"
"CDH9","ENSG00000113100","0.32","0.7972855892353323","1.01","0.01","0.02","0","0.01"
"CECR7","ENSG00000237438","0.32","0.7875152269837707","1.285132382892057","5.31","4","3.91","2.41"
"CGB8","ENSG00000213030","0.32","0.7970113020153691","1.0377358490566038","0.1","0.12","0.06","0.1"
"CMIP","ENSG00000153815","0.32","0.7919886013418861","1.1000971817298348","32.96","9.68","29.87","6.56"
"CPLX4","ENSG00000166569","0.32","0.7972855892353323","1.00990099009901","0.02","0.03","0.01","0.02"
"CTBP2P4","ENSG00000251102","0.32","0.7715010666254445","1.0185185185185186","0.1","0.07","0.08","0.08"
"CUL4B","ENSG00000158290","0.32","0.7811825147347741","1.0978806469604014","156.48","46.09","142.44","36.06"
"CXCL9","ENSG00000138755","0.32","0.7972855892353323","1","0","0.01","0","0.01"
"DCUN1D4","ENSG00000109184","0.32","0.7833961164316418","1.0279777823493108","48.97","4.4","47.61","3.63"
"DDI2","ENSG00000197312","0.32","0.7731502619414484","1.0369942196531792","25.91","2.94","24.95","3.15"
"DOCK6","ENSG00000130158","0.32","0.7691488312495146","1.0520361990950227","17.6","2.91","16.68","3.05"
"DUSP2","ENSG00000158050","0.32","0.7893117721613361","1.4004065040650406","5.89","7.4","3.92","5.58"
"DYNC1LI2","ENSG00000135720","0.32","0.7931956361763192","1.025354798900544","181.79","14.71","177.27","12.72"
"EIF1P5","ENSG00000266563","0.32","0.7965881059834038","1.0098039215686274","0.03","0.03","0.02","0.02"
"ELF4","ENSG00000102034","0.32","0.7540075054125571","1.038355477563299","40.42","4.02","38.89","5.66"
"ERCC8","ENSG00000049167","0.32","0.7769512473217018","1.049466537342386","9.82","1.54","9.31","1.41"
"FAM86MP","ENSG00000186234","0.32","0.7972855892353323","1","0.01","0.02","0.01","0.01"
"FAR1","ENSG00000197601","0.32","0.7972855892353323","1.0434112204957893","86.97","12.23","83.31","7.87"
"FLI1","ENSG00000151702","0.32","0.7607421699078812","1.0485312899106003","15.42","2.33","14.66","3.36"
"FOXF1","ENSG00000103241","0.32","0.7788150809947524","1.2375215146299485","6.19","4.47","4.81","3.69"
"FRAS1","ENSG00000138759","0.32","0.7741904813163155","1.1140098255124513","64.76","32.37","58.03","41.57"
"FREM2","ENSG00000150893","0.32","0.7972855892353323","1.1372549019607843","0.16","0.6","0.02","0.04"
"FRMD6-AS2","ENSG00000258537","0.32","0.7868832071369668","1.0465116279069768","0.35","0.2","0.29","0.16"
"GALNT3","ENSG00000115339","0.32","0.7949324221605029","1.089171974522293","0.71","0.46","0.57","0.27"
"GALNT8","ENSG00000130035","0.32","0.7798640497120339","1.01","0.01","0.01","0","0.01"
"GCC2","ENSG00000135968","0.32","0.7828714339594176","1.0484020379805465","44.27","6.61","42.18","5.62"
"GIPC3","ENSG00000179855","0.32","0.7972855892353323","1.0666666666666667","0.28","0.27","0.2","0.13"
"GNAQP1","ENSG00000214077","0.32","0.7925272117863721","1.0272727272727271","0.13","0.1","0.1","0.08"
"GOLT1B","ENSG00000111711","0.32","0.7918140822200901","1.029818956336528","86.03","8.46","83.51","7.4"
"GPAT2P1","ENSG00000237510","0.32","0.793279519576875","1.0826446280991737","0.31","0.4","0.21","0.26"
"GPC4","ENSG00000076716","0.32","0.7691043049187971","0.9610604805302402","10.6","7.09","11.07","14.33"
"GRM5-AS1","ENSG00000255082","0.32","0.7972855892353323","1.01","0.01","0.02","0","0.01"
"GSN","ENSG00000148180","0.32","0.7696335041142679","1.0410031179803534","309.5","38.32","297.27","47.88"
"H2BC4","ENSG00000180596","0.32","0.7893117721613361","1.0747126436781609","0.87","0.43","0.74","0.3"
"H3C13","ENSG00000183598","0.32","0.789817044693984","1.00990099009901","0.02","0.03","0.01","0.02"
"HES4","ENSG00000188290","0.32","0.790643611584327","1.196629213483146","1.13","1.13","0.78","0.65"
"HSPA1B","ENSG00000204388","0.32","0.7972855892353323","1.156345800122624","17.86","8.01","15.31","3.39"
"HSPB1P2","ENSG00000230216","0.32","0.7965881059834038","1.0095238095238095","0.06","0.05","0.05","0.04"
"KCNE1","ENSG00000180509","0.32","0.7844784740528733","1.0441176470588236","0.42","0.19","0.36","0.17"
"KCNQ5","ENSG00000185760","0.32","0.7897279464285715","1.4136229022704836","13.32","10.95","9.13","7.03"
"KLHL24","ENSG00000114796","0.32","0.7806015130882131","1.1370351502801834","21.32","8.26","18.63","6.65"
"KRT18P37","ENSG00000253943","0.32","0.7972855892353323","1.01","0.01","0.02","0","0.01"
"LINC01711","ENSG00000268941","0.32","0.7923676815333579","1.0508474576271187","0.24","0.19","0.18","0.14"
"LINC02427","ENSG00000271538","0.32","0.7902748162447101","1.0186915887850467","0.09","0.08","0.07","0.06"
"MCAM","ENSG00000076706","0.32","0.7972855892353323","1.729883138564274","50.81","64.57","28.95","18.34"
"MDM4","ENSG00000198625","0.32","0.7501358511928832","1.041754533951919","23.7","2.87","22.71","5.38"
"MINK1","ENSG00000141503","0.32","0.7763776815149889","1.0422827813760236","84.29","11.03","80.83","10.47"
"MIR1267","ENSG00000221650","0.32","0.7972855892353323","1","0","0.01","0","0.01"
"MIR659","ENSG00000207696","0.32","0.7865660586954889","1.0095238095238095","0.06","0.03","0.05","0.03"
"MLC1","ENSG00000100427","0.32","0.7972855892353323","1.2376237623762376","0.25","1.1","0.01","0.02"
"MON2","ENSG00000061987","0.32","0.7587660153468871","1.0310597783674107","65.06","5.29","63.07","8.73"
"MTND1P11","ENSG00000228166","0.32","0.7925129909365558","1.00990099009901","0.02","0.03","0.01","0.02"
"MXRA7","ENSG00000182534","0.32","0.7798640497120339","1.0767653919558917","303.66","71.08","281.94","66.05"
"MYO6","ENSG00000196586","0.32","0.7660365255428839","1.0484921592279854","42.46","6.26","40.45","7.53"
"NANOG","ENSG00000111704","0.32","0.7919158038348082","1","0","0.01","0","0.01"
"NAP1L1","ENSG00000187109","0.32","0.7602562307874202","1.0426720714305278","379.69","41.38","364.11","58.96"
"NIPAL3","ENSG00000001461","0.32","0.7808331518862931","1.1593406593406592","66.52","27.06","57.24","23.09"
