"gene","ensg","cohen","pvalue","fold_change","ma","sa","mb","sb"
"SCN1B","ENSG00000105711","1.55","0.36741052631578947","1.2463768115942029","0.72","0.24","0.38","0.16"
"SPTBN5","ENSG00000137877","1.55","0.36741052631578947","2.8054474708171204","6.21","4.99","1.57","0.88"
"ZNF584","ENSG00000171574","1.55","0.36741052631578947","1.1698221457257603","19.39","2.16","16.43","1.58"
"AGAP1-IT1","ENSG00000235529","1.54","0.36741052631578947","1.1296296296296295","0.22","0.11","0.08","0.05"
"AL451042.2","ENSG00000227959","1.54","0.36741052631578947","1.0776699029126213","0.11","0.06","0.03","0.03"
"APOL2","ENSG00000128335","1.54","0.36741052631578947","1.3845419847328244","13.51","3","9.48","1.92"
"BTG3","ENSG00000154640","1.54","0.37734054054054056","1.2085443734860164","53.88","6.79","44.41","5.89"
"CD99P1","ENSG00000223773","1.54","0.4214668229777257","1.2995867768595042","5.29","0.93","3.84","1.1"
"HAPLN3","ENSG00000140511","1.54","0.37734054054054056","1.2875536480686696","5","1.07","3.66","0.77"
"MLX","ENSG00000108788","1.54","0.36741052631578947","1.1640693913554838","38.59","4.07","33.01","2.25"
"NCOR2","ENSG00000196498","1.54","0.36741052631578947","1.1834296218487395","89.13","11.36","75.16","4"
"SDSL","ENSG00000139410","1.54","0.39613269841269844","1.4821428571428574","7.3","1.98","4.6","1.69"
"SNORA3B","ENSG00000212607","1.54","0.36741052631578947","1.111111111111111","0.5","0.12","0.35","0.06"
"TPD52L2","ENSG00000101150","1.54","0.36741052631578947","1.1515281501340482","106.38","10.88","92.25","4.95"
"AP002770.1","ENSG00000256034","1.53","0.36741052631578947","1.0943396226415094","0.16","0.07","0.06","0.05"
"AP005329.3","ENSG00000272688","1.53","0.36741052631578947","1.2627737226277371","0.73","0.28","0.37","0.09"
"CCDC174","ENSG00000154781","1.53","0.36741052631578947","1.0845997973657548","20.41","1.24","18.74","0.77"
"EFR3A","ENSG00000132294","1.53","0.36741052631578947","1.2993788819875778","30.38","5.83","23.15","2.8"
"HK1","ENSG00000156515","1.53","0.37673512252042","1.3235990528808208","116.39","22.29","87.69","15.27"
"IRAK2","ENSG00000134070","1.53","0.36741052631578947","1.1325301204819276","0.88","0.16","0.66","0.11"
